date;Autres;Centres de santé;Cures thermales;Dentistes;Généralistes;Indemnités journalières (IJ);Infirmières;Kinésithérapeutes;Laboratoires;Liste des produits et prestations (LPP);Médicaments;Orthophonistes;Orthoptistes;Psychologues;Pédicures;Remboursement de soins à l'étranger;Sages-femmes;Spécialistes;Total;Transports;dont IJ accidents du travail;dont IJ acidents du travail;dont IJ maladie;dont autres médicaments (franchises, Rosp, gardes pharmacies …);dont médicaments remboursés de ville;dont médicaments remboursés à 100%;dont médicaments remboursés à 15%;dont médicaments remboursés à 30%;dont médicaments remboursés à 65%;dont rétrocession hospitalière
2018-06-01;4297452.392179;91450386.82534999;20215399.81;238000603.2833;446447013.43403;910685931.62;487790023.78795004;285928952.21051;245799987.53100002;487121286.15;1644321790.2177014;53102145.860189;7461963.5499;;2325131.55371;18852290.567;21760978.596999;860810287.339609;6150702295.917707;324330671.18828;;264290258.35;646395673.27;-41979839.385910004;;1090662012.0;5275955.2214;38544143.52221144;377082989.58;174736529.28
2018-07-01;5658484.160401002;74118569.64521301;18196185.826;242714677.58808002;447403890.51528007;910134906.6899999;489393501.11899996;291612928.20371;245472513.403;487969191.42;1641929270.7424;59633300.7836372;7982481.7149;;2427656.2567200004;18265065.075;22427065.718870997;883177192.6035106;6178921382.623575;330404501.1578533;;264215358.22;645919548.47;-40010371.5514;;1090575876.7;5334018.6768;38102797.877;369958036.51;177968912.53
2018-08-01;3504058.9248440005;74260696.933293;18134245.146;239570063.28201997;445484023.1223279;918540657.92;497624891.52198285;289367168.01500005;245494578.73200002;510422746.41;1679635264.2164717;59842687.25579;8456229.2333;;2459567.6115800003;18887432.276;22803474.668912;876780742.7012688;6242240935.213181;330972407.2423899;;266801974.44;651738683.48;-36839098.422963;;1105767373.7;5467869.0746;37935100.78483482;373476343.48;193827675.6
2018-09-01;3627000.8347440003;74300076.63726299;19272255.302;233292701.15054;584349285.3516589;908329904.52;495737402.512;291480096.018;243487719.714;478952800.12;1642008361.6404808;55707556.030257;8052858.978700001;;2496381.95526;19539924.532;22347977.204184998;860838609.96594;6272040682.08172;328219769.61468995;;266543889.92;641786014.6;-33955512.983219095;;1089470994.0;5458979.0567;40556250.357;357615738.4;182861912.81
2018-10-01;5101456.589317999;74245756.75083469;19711387.989;242955515.02435;446726243.7344725;912797388.01;494988152.11800003;292828806.62975;241740706.311;503862033.14;1702393960.8771;57341376.16197;8269038.243299999;;2622508.43964;19128079.248;22951755.867211;871970656.7159218;6243684744.132919;324049922.28305;;269693172.31;643104215.7;-38008153.3319;;1128434413.9;5603276.261;43603788.148;378122290.67;184638345.23
2018-11-01;3222855.742634;76543324.13829668;20142187.059;234145918.41641;591694266.1083901;909503934.47;497192761.56200004;286011006.20900005;235353311.077;497339550.9;1664301946.081;53986771.4692;8002893.2585;;2384618.20241;19182341.174;22331394.592031;871497499.3526216;6309840755.474793;317004175.6623;;267110663.21;642393271.26;-36852468.222399995;;1109555278.0;5560056.2894;42932449.534;368004155.49;175102474.99
2018-12-01;1667776.3390539999;74915583.64479665;20899783.256;237861603.50078;584180983.6761916;915754176.2800001;500250844.79300004;285062021.937;227339557.621;494996906.96;1672988956.3972;56080055.44794001;8161791.4282;;2577213.5885;11433388.729;23073085.019457;865851645.7712308;6302741058.686459;319645684.29710996;;272558202.6;643195973.68;-37311061.363699995;;1121145016.5;5565315.4829;41822694.378;352662894.17;189104097.23
2019-01-01;12970818.015747001;101518936.53222898;14466565.995;233440311.00698;774626985.933122;919187074.01;499002740.06200004;288624348.1394;246420737.053;517652361.18;1780439702.4056997;53894888.12192;8680911.310800001;;2574356.98166;19281754.156;22754271.071121003;912228537.6331351;6718736852.800605;310971553.1927899;;280816378.5;638370695.51;67253721.3857;1537911867.7;;;;;175274113.32
2019-02-01;2048494.0153470002;77809294.18149;18987423.036;237997128.36576998;447726203.9082853;921710740.25;499995797.00649995;289373007.7827;249158439.97300002;502669347.58;1676416829.8628998;55999367.28770799;8857814.294799998;;2574044.54837;18819657.286;23521661.728034005;871038458.113906;6226209601.57588;321505892.35507;;276297743.33;645412996.92;-43211099.4571;1543505341.6;;;;;176122587.72
2019-03-01;2096664.5042530003;79764011.31416601;18912633.179;252744510.66777003;432521984.9889562;915252602.94;502968861.13904905;293721053.23349994;251354328.98799998;500259394.09;1643486698.2598753;55487925.00084;8832778.5953;;2616319.56998;19040753.539;24101834.417111997;869831362.546888;6187389753.925971;314396036.95228004;;277979117.99;637273484.95;-39081970.310124494;1512057561.3;;;;;170511107.27
